"Title","Title_URL","Image","addresse","note","tarif"
"Hôtel Louis 2","https://www.france-hotel-guide.com/fr/75006-hotel-louis2.php","https://imgcy.trivago.com/itemimages/22/70/227001_v5.jpeg","6ème arr. Saint-Germain - Luxembourg","Excellent, 5","€ 132"
"Hôtel Saint Paul Rive Gauche","https://www.france-hotel-guide.com/fr/75006-hotel-saint-paul-rive-gauche-paris.php","https://www.hotelsaintpaulparis.com/wp-content/uploads/2021/02/double-standard-1.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 192"
"Hôtel Atmosphères","https://www.france-hotel-guide.com/fr/75005-hotel-atmospheres-paris.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/76/8a/25/triple-room.jpg?w=900&h=-1&s=1","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 181"
"Relais Hôtel Du Vieux Paris","https://www.france-hotel-guide.com/fr/75006-hotel-vieux-paris.php","https://cf.bstatic.com/xdata/images/hotel/max500/26212871.jpg?k=e7e3c16982192c542f5400b2ac0b231531eb176f67147f651583461af1b0a84e&o=&hp=1","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 153"
"Hôtel Odéon Saint Germain","https://www.france-hotel-guide.com/fr/75006-hotel-odeon-saint-germain.php","https://3pdpge1rdezz5dk6qaroeead-wpengine.netdna-ssl.com/wp-content/uploads/sites/416/2022/02/002-hotel-osg-deluxe-triple.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 350"
"Hôtel Cujas Panthéon","https://www.france-hotel-guide.com/fr/75005-paris-hotel-cujas.php","https://foto-origin.hrsstatic.com/foto/2/0/4/3//teaser_204390.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 143"
"Hôtel Vendome Saint Germain","https://www.france-hotel-guide.com/fr/75005-hotel-vendome.php","https://images.mirai.com/INFOROOMS/10916/WMo4HTBWOREdpQ7COFig/WMo4HTBWOREdpQ7COFig_large.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 130"
"Hôtel Villa d'Estrees","https://www.france-hotel-guide.com/fr/75006-villa-d-estrees.php","https://media-cdn.tripadvisor.com/media/photo-s/0f/91/71/69/hotel-villa-d-estrees.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 234"
"Hôtel La Lanterne","https://www.france-hotel-guide.com/fr/75005-lanterne-hotel.php","https://cdn.sortiraparis.com/images/80/90418/534978-hotel-la-lanterne.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 197"
"Hôtel Abbatial Saint Germain","https://www.france-hotel-guide.com/fr/75005-hotel-abbatial-saint-germain.php","https://foto.hrsstatic.com/fotos/0/2/1280/1280/100/FFFFFF/http%3A%2F%2Ffoto-origin.hrsstatic.com%2Ffoto%2F0%2F4%2F2%2F8%2F042860%2F042860_z34_4338743.jpg/iflQWrwWR0QdWaEdSB5ezA%3D%3D/1500%2C1155/6/Abbatial_Saint-Germain-Paris-Double_room_superior-4-42860.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 275"
"Hôtel Design de la Sorbonne","https://www.france-hotel-guide.com/fr/75005-hotel-sorbonne.php","https://www.hotelsorbonne.com/uploads/images/gallery/xsorbonne_Classique.jpg.pagespeed.ic.FFYS6R_oKI.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 75"
"Hôtel Duo","https://www.france-hotel-guide.com/fr/75004-hotel-duo.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b3/bb/d7/deluxe-double-room--v16846990.jpg?w=900&h=-1&s=1","4ème arr. Marais - Centre Pompidou","Très bien, 4","€ 205"
"Le Clos Notre Dame Hotel","https://www.france-hotel-guide.com/fr/75006-le-clos-notre-dame-hotel.php","https://media-cdn.tripadvisor.com/media/photo-s/04/06/8d/71/clos-notre-dame-hotel.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4","€ 134"
"1er Etage Marais","https://www.france-hotel-guide.com/fr/46064-1er-etage-marais-paris-fr.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/6e/81/45/getlstd-property-photo.jpg?w=900&h=-1&s=1","4ème arr. Marais - Centre Pompidou","Excellent, 5","€ 234"
"Hôtel Du Jeu De Paume","https://www.france-hotel-guide.com/fr/40407-hotel-du-jeu-de-paume-paris-fr.php","https://aubergedujeudepaumechantilly.fr/_novaimg/galleria/1390465.jpg","4ème arr. Marais - Centre Pompidou","Très bien, 4.5","€ 249"
"Hotel Saint Louis en L'Isle","https://www.france-hotel-guide.com/fr/40422-hotel-saint-louis-en-l-isle-paris-fr.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/91/c3/18/photo1jpg.jpg?w=900&h=-1&s=1","4ème arr. Marais - Centre Pompidou","Très bien, 4.5","€ 228"
"Hôtel Des Deux Iles Notre Dame","https://www.france-hotel-guide.com/fr/40423-hotel-des-deux-iles-notre-dame-paris-fr.php","https://q-xx.bstatic.com/xdata/images/hotel/max500/287036022.jpg?k=43d97693981b4d688f20af569a4c33a63882c152303c3e8234618f0eaa79d69c&o=","4ème arr. Marais - Centre Pompidou","Très bien, 4.5","€ 161"
"Millésime Hôtel","https://www.france-hotel-guide.com/fr/43102-millesime-hotel-paris-fr.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/83/02/05/millesime-hotel.jpg?w=900&h=-1&s=1","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 223"
"Hotel de la Bretonnerie","https://www.france-hotel-guide.com/fr/43123-hotel-de-la-bretonnerie-paris-fr.php","https://www.hotelparismaraisbretonnerie.com/_cache/resize/1920-921.crop/b1bbfb3c0f129ef6f0b003bd7ba6ff28.jpg","4ème arr. Marais - Centre Pompidou","Très bien, 4.5","€ 165"
"Le Senat","https://www.france-hotel-guide.com/fr/43209-le-senat-paris-fr.php","https://media-cdn.tripadvisor.com/media/photo-s/15/70/af/39/duplex-avec-terrasse.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 173"
"Europe Saint Severin Paris Notre Dame","https://www.france-hotel-guide.com/fr/43271-europe-saint-severin-paris-notre-dame-paris-fr.php","https://cf.bstatic.com/xdata/images/hotel/max1024x768/34904848.jpg?k=8c4bd034eba274f7de99021283f32c4bb2f0fa922e889f71e4c7c79ab347fe4f&o=&hp=1","5ème arr. Panthéon - Saint-Michel","Très bien, 4.5","€ 121"
"L'Hôtel","https://www.france-hotel-guide.com/fr/43356-l-hotel-paris-fr.php","https://assets.hotelaparis.com/uploads/pictures/000/045/730/LHotel-_-Amy-Murrell-2010-114.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4.5","€ 360"
